CustomerID,Age,Gender,Geography,Branch,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,HasLoan,LoanAmount,CreditScore,Exited
CUST02997,71,Female,France,South,7,0.0,2,1,0,28621.57,0,0.0,438,1
CUST05826,62,Male,Germany,West,0,602.31,3,1,1,107884.96,1,55086.7,489,0
CUST00890,38,Male,Germany,South,3,0.0,1,1,1,26484.69,0,0.0,842,1
CUST08090,48,Female,France,East,10,163760.51,2,1,1,174488.91,1,93121.77,457,0
CUST00144,61,Female,Spain,Central,3,0.0,2,0,0,178847.23,1,66931.22,335,0
CUST06147,72,Male,France,South,8,14062.39,2,0,1,190749.18,0,0.0,597,0
CUST00800,61,Female,Germany,Central,2,86349.24,4,1,1,187167.36,1,76221.15,519,0
CUST09484,26,Male,Spain,South,8,137937.2,1,0,1,17567.93,0,0.0,690,0
CUST08992,55,Male,Spain,Central,7,0.0,1,1,1,21683.56,0,0.0,668,1
CUST05091,38,Female,France,West,0,9193.95,4,1,1,161744.51,1,35284.57,673,0
CUST08909,55,Female,Germany,North,10,166.45,1,1,1,192769.97,1,31217.43,585,0
CUST03303,35,Female,France,South,10,,1,0,0,28047.2,1,79978.23,726,0
CUST02825,63,Female,Germany,South,9,0.0,1,0,1,16701.22,0,0.0,731,1
CUST07079,33,Male,Germany,East,9,77693.53,4,1,0,66609.99,0,0.0,615,0
CUST05795,32,Male,Germany,North,8,28108.79,3,0,1,34436.67,1,22173.02,345,0
CUST00288,36,Male,France,West,10,0.0,1,0,0,35768.14,1,62881.45,534,1
CUST02730,21,Female,Spain,South,2,1358.76,3,1,1,35288.05,1,55458.12,590,0
CUST05596,53,Female,Germany,Central,3,0.0,1,1,0,5100.77,1,41824.21,498,0
CUST09833,33,Female,Spain,South,10,37806.25,1,0,0,127669.44,1,87312.2,621,0
CUST09357,36,Female,France,West,2,0.0,2,0,0,53430.31,0,0.0,830,0
CUST06140,63,Male,Germany,North,2,117536.1,3,0,0,35777.9,0,0.0,643,0
CUST07705,42,Female,Spain,Central,8,65070.52,2,0,0,130606.5,0,0.0,471,1
CUST06358,54,Female,France,West,8,153572.59,2,1,1,182120.87,0,0.0,495,0
CUST01222,22,Male,France,West,0,42347.11,2,1,1,64426.4,0,0.0,417,0
CUST03246,49,Female,France,North,9,114044.45,2,1,0,25231.89,1,34465.38,300,0
CUST08919,48,Female,Germany,South,1,10646.36,2,1,1,119512.08,0,0.0,310,0
CUST00526,45,Female,France,North,0,0.0,1,0,1,137115.57,1,87203.0,447,0
CUST04984,25,Male,France,South,10,9852.11,1,0,0,13263.93,1,88110.35,565,1
CUST08640,68,Female,France,North,2,40140.58,1,0,1,108684.08,1,12118.42,412,0
CUST03000,20,Male,Spain,South,1,0.0,2,1,0,,1,95204.76,465,1
CUST00184,30,Male,Spain,North,6,184657.22,1,1,0,112497.12,1,43225.08,467,0
CUST04564,72,Male,Spain,East,10,71387.69,2,1,1,69544.76,0,0.0,506,0
CUST09908,26,Female,France,East,0,61308.61,1,1,0,93011.31,1,68940.84,679,1
CUST05725,68,Male,Spain,Central,6,,1,1,1,184892.86,1,88887.74,632,0
CUST06104,31,Female,France,West,1,98.77,1,1,0,157538.47,0,0.0,464,1
CUST01099,68,Male,Germany,West,0,184585.11,2,1,1,195105.83,0,0.0,631,0
CUST01717,60,Male,France,South,8,33725.0,1,0,0,104399.76,0,0.0,702,0
CUST07704,59,Male,Spain,North,0,15090.8,2,1,1,149160.29,0,0.0,766,0
CUST02826,53,Female,France,South,10,0.0,2,1,0,171004.7,0,0.0,576,0
CUST04840,45,Male,France,Central,6,56095.92,1,1,0,16019.41,1,21777.98,316,0
CUST02426,42,Female,Germany,North,1,95807.56,1,1,1,47057.98,0,0.0,335,0
CUST06607,20,Female,Germany,South,3,0.0,2,0,1,142577.13,0,0.0,560,0
CUST08080,32,Female,France,North,1,74286.4,2,0,0,95429.66,1,95545.63,718,0
CUST04532,73,Male,Spain,Central,3,164597.04,1,1,0,65543.68,0,0.0,836,0
CUST04844,61,Male,France,Central,9,0.0,2,1,1,63836.43,0,0.0,313,0
CUST09976,48,Female,Germany,West,7,108145.72,2,1,0,121201.58,0,0.0,448,0
CUST05141,41,Male,Spain,Central,9,250000.0,1,1,1,130110.31,1,28101.36,449,0
CUST09533,49,Female,Germany,West,0,8212.21,2,0,0,157503.77,0,0.0,801,1
CUST04059,55,Female,France,East,8,13685.21,2,1,1,22232.09,1,76098.14,767,0
CUST06657,50,Female,Spain,North,5,133172.27,2,1,0,122550.43,1,11708.3,440,0
CUST08622,31,Male,France,North,0,35441.46,1,0,0,54305.71,1,18620.97,309,0
CUST03819,68,Female,Germany,East,8,165212.94,1,1,1,153306.18,1,32092.05,343,0
CUST04394,65,Female,France,West,1,0.0,1,0,1,93790.29,1,9740.78,707,0
CUST00010,40,Male,Spain,West,8,0.0,3,1,0,162450.2,0,0.0,474,0
CUST02695,63,Male,Spain,South,0,41079.42,1,1,0,4163.92,1,75807.21,433,0
CUST05714,61,Female,France,South,0,0.0,1,1,0,160244.97,0,0.0,474,0
CUST02512,46,Male,France,East,10,24658.71,1,1,0,156169.3,1,66951.09,564,0
CUST02992,48,Male,France,East,0,37799.16,1,1,0,18092.54,0,0.0,493,1
CUST02647,23,Female,France,North,8,0.0,1,1,0,128262.98,1,18194.52,544,0
CUST07567,66,Male,France,East,2,0.0,2,0,1,177354.92,1,56284.14,636,0
CUST06333,38,Female,Spain,North,1,146262.1,4,0,1,91004.48,1,55148.16,586,0
CUST03131,46,Female,France,North,3,250000.0,1,1,0,72186.27,0,0.0,760,0
CUST02790,32,Male,France,West,0,0.0,1,1,1,114824.04,1,64318.3,804,0
CUST08700,46,Male,France,Central,6,112831.2,1,1,0,4918.98,1,71154.29,468,0
CUST07729,49,Female,France,North,4,157999.32,2,0,0,71400.51,1,59618.81,430,1
CUST02837,56,Female,France,West,10,250000.0,1,1,1,22778.74,0,0.0,492,0
CUST08500,63,Male,Spain,East,8,11825.99,1,0,0,141567.78,0,0.0,581,0
CUST01915,21,Female,France,West,10,4787.83,2,0,0,21299.42,1,39926.35,754,0
CUST09147,21,Male,France,North,4,170359.06,2,0,1,105395.84,0,0.0,721,0
CUST02634,25,Male,Spain,West,10,37533.5,2,1,0,142524.4,1,59172.15,675,0
CUST09186,45,Female,France,North,2,19736.8,1,1,0,91176.84,1,54305.59,689,0
CUST01572,48,Female,France,South,2,4919.13,2,0,1,277.81,1,18660.12,483,0
CUST03220,32,Female,France,South,0,19275.68,1,1,0,192436.71,1,42435.02,366,1
CUST03834,52,Male,France,East,5,34282.77,2,1,1,164038.59,0,0.0,632,0
CUST02133,32,Male,France,East,6,1075.09,2,1,0,36062.76,1,93859.64,342,0
CUST05808,18,Female,France,South,0,3667.4,1,1,1,115671.0,0,0.0,354,0
CUST03955,72,Female,Spain,North,4,50552.87,4,1,1,104811.25,1,87274.27,367,0
CUST09431,42,Male,France,Central,6,73435.7,3,0,0,9403.01,1,52248.86,690,0
CUST09063,53,Female,France,West,9,58293.52,1,1,0,61824.02,0,0.0,726,0
CUST03321,50,Male,Germany,East,8,9941.31,1,1,0,180915.27,1,45941.84,450,0
CUST07484,24,Female,France,North,8,51998.12,1,1,1,48073.92,1,74435.54,453,0
CUST03197,68,Female,Spain,East,8,0.0,2,1,0,3860.27,0,0.0,717,0
CUST05902,36,Male,Spain,Central,7,232649.11,3,0,0,158104.12,0,0.0,398,0
CUST02970,24,Male,France,West,4,72829.12,2,1,0,141190.97,1,21152.49,564,1
CUST07433,39,Female,France,North,3,213011.94,3,1,0,115752.21,0,0.0,543,0
CUST02416,64,Female,Germany,West,3,10210.16,2,0,1,120824.7,0,0.0,726,1
CUST07401,46,Male,Germany,Central,2,59884.06,1,1,0,88374.24,0,0.0,506,0
CUST07409,61,Female,France,West,10,0.0,1,1,1,189928.22,0,0.0,840,1
CUST01192,68,Male,Germany,East,3,21689.16,1,1,0,158233.02,0,0.0,554,0
CUST02782,51,Male,Germany,Central,7,83314.18,2,1,1,67131.85,0,0.0,791,0
CUST02126,46,Female,Spain,Central,6,26422.4,1,1,1,98610.51,0,0.0,503,0
CUST09446,59,Female,Germany,Central,8,0.0,2,1,0,62607.38,1,58589.42,809,1
CUST05594,55,Female,France,South,7,118135.39,2,1,1,93108.93,0,0.0,517,0
CUST02249,33,Male,Germany,Central,6,114491.76,3,1,1,,0,0.0,847,0
CUST04409,28,Male,France,Central,5,46177.3,4,1,0,71402.28,1,55458.65,532,0
CUST05716,47,Female,Spain,South,4,140461.55,2,1,1,135901.52,0,0.0,781,1
CUST02921,69,Male,France,North,2,77705.96,1,0,1,191328.59,1,96581.17,403,1
CUST09834,22,Male,France,North,2,11659.01,1,0,1,170055.47,0,0.0,308,0
CUST01836,30,Female,Spain,North,3,0.0,1,1,1,107985.35,0,0.0,519,0
